COUNTRY,HEIGHT,WEIGHT,JERSEY,POSITION,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Name,Birthday,PTS,AST,REB
USA,6-4,190,9,Guard,2017,1,29,derrick white,1994-07-02,16.4,4.8,4.5
USA,6-6,225,0,Forward,2018,1,12,miles bridges,1998-03-21,20.3,3.9,7.5
USA,6-6,180,1,Guard,2020,1,3,lamelo ball,2001-08-22,25.2,7.4,4.9
Lithuania,6-10,240,11,Forward-Center,2016,1,11,domantas sabonis,1996-05-03,19.1,6.0,13.9
France,6-9,210,14,Forward,2022,2,43,moussa diabate,2002-01-21,5.7,0.8,6.2
USA,6-10,253,3,Forward-Center,2012,1,1,anthony davis,1993-03-11,24.7,3.5,11.6
USA,6-6,225,2,Forward,2011,1,15,kawhi leonard,1991-06-29,21.5,3.1,5.9
USA,6-5,220,1,Guard,2009,1,3,james harden,1989-08-26,22.8,8.7,5.8
France,6-7,230,33,Guard-Forward,2008,1,25,nicolas batum,1988-12-14,4.0,1.1,2.8
France,7-1,250,42,Center,2025,2,42,maxime raynaud,2003-04-07,0.0,0.0,0.0
